Year,State,Broad_category,Fuel_category,Registered_vehicle
2013,Karnataka,LPV,Diesel & Others,20667
2013,Karnataka,LPV,Electric Vehicle,10
2013,Karnataka,LPV,Others,8
2013,Karnataka,LPV,Petrol & Others,493
2014,Karnataka,LPV,CNG,0
2014,Karnataka,LPV,Diesel & Others,24395
2014,Karnataka,LPV,Electric Vehicle,5
2014,Karnataka,LPV,Others,14
2014,Karnataka,LPV,Petrol & Others,861
2015,Karnataka,LPV,CNG,2
2015,Karnataka,LPV,Diesel & Others,41491
2015,Karnataka,LPV,Electric Vehicle,116
2015,Karnataka,LPV,Others,15
2015,Karnataka,LPV,Petrol & Others,973
2016,Karnataka,LPV,CNG,0
2016,Karnataka,LPV,Diesel & Others,42786
2016,Karnataka,LPV,Electric Vehicle,82
2016,Karnataka,LPV,Others,13
2016,Karnataka,LPV,Petrol & Others,939
2017,Karnataka,LPV,CNG,0
2017,Karnataka,LPV,Diesel & Others,24945
2017,Karnataka,LPV,Electric Vehicle,152
2017,Karnataka,LPV,Others,9
2017,Karnataka,LPV,Petrol & Others,1065
2018,Karnataka,LPV,CNG,3
2018,Karnataka,LPV,Diesel & Others,27001
2018,Karnataka,LPV,Electric Vehicle,287
2018,Karnataka,LPV,Others,5
2018,Karnataka,LPV,Petrol & Others,1418
2019,Karnataka,LPV,CNG,141
2019,Karnataka,LPV,Diesel & Others,24729
2019,Karnataka,LPV,Electric Vehicle,367
2019,Karnataka,LPV,Others,107
2019,Karnataka,LPV,Petrol & Others,2178
2020,Karnataka,LPV,CNG,4
2020,Karnataka,LPV,Diesel & Others,1337
2020,Karnataka,LPV,Electric Vehicle,87
2020,Karnataka,LPV,Others,21
2020,Karnataka,LPV,Petrol & Others,3721
2021,Karnataka,LPV,CNG,5
2021,Karnataka,LPV,Diesel & Others,1608
2021,Karnataka,LPV,Electric Vehicle,122
2021,Karnataka,LPV,Others,15
2021,Karnataka,LPV,Petrol & Others,4279
2022,Karnataka,LPV,CNG,342
2022,Karnataka,LPV,Diesel & Others,5041
2022,Karnataka,LPV,Electric Vehicle,1432
2022,Karnataka,LPV,Others,8
2022,Karnataka,LPV,Petrol & Others,13325
2023,Karnataka,LPV,CNG,454
2023,Karnataka,LPV,Diesel & Others,6750
2023,Karnataka,LPV,Electric Vehicle,2370
2023,Karnataka,LPV,Others,3
2023,Karnataka,LPV,Petrol & Others,20506
2013,Karnataka,MGV,CNG,0
2013,Karnataka,MGV,Diesel & Others,3537
2013,Karnataka,MGV,Electric Vehicle,0
2013,Karnataka,MGV,Others,36
2013,Karnataka,MGV,Petrol & Others,4
2014,Karnataka,MGV,CNG,0
2014,Karnataka,MGV,Diesel & Others,3366
2014,Karnataka,MGV,Electric Vehicle,0
2014,Karnataka,MGV,Others,30
2014,Karnataka,MGV,Petrol & Others,6
2015,Karnataka,MGV,CNG,0
2015,Karnataka,MGV,Diesel & Others,3221
2015,Karnataka,MGV,Electric Vehicle,1
2015,Karnataka,MGV,Others,9
2015,Karnataka,MGV,Petrol & Others,6
2016,Karnataka,MGV,CNG,0
2016,Karnataka,MGV,Diesel & Others,3758
2016,Karnataka,MGV,Electric Vehicle,0
2016,Karnataka,MGV,Others,10
2016,Karnataka,MGV,Petrol & Others,4
2017,Karnataka,MGV,CNG,0
2017,Karnataka,MGV,Diesel & Others,3402
2017,Karnataka,MGV,Electric Vehicle,0
2017,Karnataka,MGV,Others,9
2017,Karnataka,MGV,Petrol & Others,5
2018,Karnataka,MGV,CNG,3
2018,Karnataka,MGV,Diesel & Others,4587
2018,Karnataka,MGV,Electric Vehicle,0
2018,Karnataka,MGV,Others,8
2018,Karnataka,MGV,Petrol & Others,2
2019,Karnataka,MGV,CNG,28
2019,Karnataka,MGV,Diesel & Others,3863
2019,Karnataka,MGV,Electric Vehicle,0
2019,Karnataka,MGV,Others,1
2019,Karnataka,MGV,Petrol & Others,0
2020,Karnataka,MGV,CNG,17
2020,Karnataka,MGV,Diesel & Others,1983
2020,Karnataka,MGV,Electric Vehicle,0
2020,Karnataka,MGV,Others,6
2020,Karnataka,MGV,Petrol & Others,0
2021,Karnataka,MGV,CNG,660
2021,Karnataka,MGV,Diesel & Others,2890
2021,Karnataka,MGV,Electric Vehicle,0
2021,Karnataka,MGV,Others,3
2021,Karnataka,MGV,Petrol & Others,0
2022,Karnataka,MGV,CNG,265
2022,Karnataka,MGV,Diesel & Others,4135
2022,Karnataka,MGV,Electric Vehicle,0
2022,Karnataka,MGV,Others,5
2022,Karnataka,MGV,Petrol & Others,0
2023,Karnataka,MGV,CNG,55
2023,Karnataka,MGV,Diesel & Others,3387
2023,Karnataka,MGV,Electric Vehicle,0
2023,Karnataka,MGV,Others,6
2023,Karnataka,MGV,Petrol & Others,0
2013,Karnataka,MMV,CNG,0
2013,Karnataka,MMV,Diesel & Others,180
2013,Karnataka,MMV,Electric Vehicle,0
2013,Karnataka,MMV,Others,18
2013,Karnataka,MMV,Petrol & Others,1
2014,Karnataka,MMV,CNG,0
2014,Karnataka,MMV,Diesel & Others,177
2014,Karnataka,MMV,Electric Vehicle,0
2014,Karnataka,MMV,Others,16
2014,Karnataka,MMV,Petrol & Others,1
2015,Karnataka,MMV,CNG,0
2015,Karnataka,MMV,Diesel & Others,271
2015,Karnataka,MMV,Electric Vehicle,0
2015,Karnataka,MMV,Others,12
2015,Karnataka,MMV,Petrol & Others,3
2016,Karnataka,MMV,CNG,0
2016,Karnataka,MMV,Diesel & Others,346
2016,Karnataka,MMV,Electric Vehicle,0
2016,Karnataka,MMV,Others,12
2016,Karnataka,MMV,Petrol & Others,0
2017,Karnataka,MMV,CNG,0
2017,Karnataka,MMV,Diesel & Others,280
2017,Karnataka,MMV,Electric Vehicle,0
2017,Karnataka,MMV,Others,0
2017,Karnataka,MMV,Petrol & Others,1
2018,Karnataka,MMV,CNG,0
2018,Karnataka,MMV,Diesel & Others,1277
2018,Karnataka,MMV,Electric Vehicle,0
2018,Karnataka,MMV,Others,17
2018,Karnataka,MMV,Petrol & Others,1
2019,Karnataka,MMV,CNG,0
2019,Karnataka,MMV,Diesel & Others,1934
2019,Karnataka,MMV,Electric Vehicle,0
2019,Karnataka,MMV,Others,10
2019,Karnataka,MMV,Petrol & Others,0
2020,Karnataka,MMV,CNG,0
2020,Karnataka,MMV,Diesel & Others,1413
2020,Karnataka,MMV,Electric Vehicle,0
2020,Karnataka,MMV,Others,42
2020,Karnataka,MMV,Petrol & Others,0
2021,Karnataka,MMV,CNG,0
2021,Karnataka,MMV,Diesel & Others,602
2021,Karnataka,MMV,Electric Vehicle,0
2021,Karnataka,MMV,Others,30
2021,Karnataka,MMV,Petrol & Others,0
2022,Karnataka,MMV,CNG,0
2022,Karnataka,MMV,Diesel & Others,321
2022,Karnataka,MMV,Electric Vehicle,0
2022,Karnataka,MMV,Others,99
2022,Karnataka,MMV,Petrol & Others,0
2023,Karnataka,MMV,CNG,0
2023,Karnataka,MMV,Diesel & Others,180
2023,Karnataka,MMV,Electric Vehicle,0
2023,Karnataka,MMV,Others,33
2023,Karnataka,MMV,Petrol & Others,0
2013,Karnataka,MPV,CNG,0
2013,Karnataka,MPV,Diesel & Others,1129
2013,Karnataka,MPV,Electric Vehicle,0
2013,Karnataka,MPV,Others,0
2013,Karnataka,MPV,Petrol & Others,2
2014,Karnataka,MPV,CNG,0
2014,Karnataka,MPV,Diesel & Others,1264
2014,Karnataka,MPV,Electric Vehicle,0
2014,Karnataka,MPV,Others,0
2014,Karnataka,MPV,Petrol & Others,3
2015,Karnataka,MPV,CNG,0
2015,Karnataka,MPV,Diesel & Others,1433
2015,Karnataka,MPV,Electric Vehicle,0
2015,Karnataka,MPV,Others,0
2015,Karnataka,MPV,Petrol & Others,1
2016,Karnataka,MPV,CNG,0
2016,Karnataka,MPV,Diesel & Others,1841
2016,Karnataka,MPV,Electric Vehicle,0
2016,Karnataka,MPV,Others,0
2016,Karnataka,MPV,Petrol & Others,2
2017,Karnataka,MPV,CNG,0
2017,Karnataka,MPV,Diesel & Others,1698
2017,Karnataka,MPV,Electric Vehicle,0
2017,Karnataka,MPV,Others,1
2017,Karnataka,MPV,Petrol & Others,0
2018,Karnataka,MPV,CNG,1
2018,Karnataka,MPV,Diesel & Others,1423
2018,Karnataka,MPV,Electric Vehicle,0
2018,Karnataka,MPV,Others,0
2018,Karnataka,MPV,Petrol & Others,2
2019,Karnataka,MPV,CNG,0
2019,Karnataka,MPV,Diesel & Others,2466
2019,Karnataka,MPV,Electric Vehicle,0
2019,Karnataka,MPV,Others,0
2019,Karnataka,MPV,Petrol & Others,1
2020,Karnataka,MPV,CNG,0
2020,Karnataka,MPV,Diesel & Others,267
2020,Karnataka,MPV,Electric Vehicle,0
2020,Karnataka,MPV,Others,0
2020,Karnataka,MPV,Petrol & Others,1
2021,Karnataka,MPV,CNG,101
2021,Karnataka,MPV,Diesel & Others,398
2021,Karnataka,MPV,Electric Vehicle,0
2021,Karnataka,MPV,Others,0
2021,Karnataka,MPV,Petrol & Others,0
2022,Karnataka,MPV,CNG,138
2022,Karnataka,MPV,Diesel & Others,2141
2022,Karnataka,MPV,Electric Vehicle,0
2022,Karnataka,MPV,Others,0
2022,Karnataka,MPV,Petrol & Others,0
2023,Karnataka,MPV,CNG,48
2023,Karnataka,MPV,Diesel & Others,2872
2023,Karnataka,MPV,Electric Vehicle,0
2023,Karnataka,MPV,Others,0
2023,Karnataka,MPV,Petrol & Others,0
2013,Karnataka,Others,CNG,0
2013,Karnataka,Others,Diesel & Others,1148
2013,Karnataka,Others,Electric Vehicle,0
2013,Karnataka,Others,Others,252
2013,Karnataka,Others,Petrol & Others,23
2014,Karnataka,Others,CNG,0
2014,Karnataka,Others,Diesel & Others,1022
2014,Karnataka,Others,Electric Vehicle,0
2014,Karnataka,Others,Others,237
2014,Karnataka,Others,Petrol & Others,21
2015,Karnataka,Others,CNG,0
2015,Karnataka,Others,Diesel & Others,1153
2015,Karnataka,Others,Electric Vehicle,0
2015,Karnataka,Others,Others,131
